,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
IBM,IBM,Common Stock,International Business Machines,"International Business Machines Corporation (IBM) is an American multinational technology company headquartered in Armonk, New York, with operations in over 170 countries. The company began in 1911, founded in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed International Business Machines in 1924. IBM is incorporated in New York. IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. IBM is also a major research organization, holding the record for most annual U.S. patents generated by a business (as of 2020) for 28 consecutive years. Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.",51143,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",December,2023-09-30,146884313000,13663000000.0,20.65,0.429,25.28,6.62,0.0415,7.79,67.3,0.113,0.145,0.0455,0.328,61170999000,32688000000,7.79,0.126,0.046,149.53,20.65,16.1,2.401,6.33,3.167,13.7,0.764,166.34,117.38,155.16,140.58,913119000,2023-12-09,2023-11-09
PM,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",December,2023-09-30,148503544000,13449000000.0,18.5,2.655,-6.08,5.11,0.0545,5.17,22.09,0.234,0.359,0.146,0.0,34279000000,20534000000,5.17,-0.015,0.138,109.53,18.5,14.6,4.332,-,5.63,14.05,0.695,100.03,85.51,92.32,94.61,1552410000,2024-01-10,2023-12-20
DIS,DIS,Common Stock,Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",September,2023-09-30,167748813000,14701000000.0,70.75,0.438,54.25,0.0,0.0065,1.28,48.63,0.0265,0.102,0.0285,0.0306,88898003000,28321000000,1.28,0.623,0.054,104.15,70.75,19.49,1.887,1.69,2.25,16.51,1.352,117.8,78.47,89.88,89.74,1830320000,2024-01-10,2023-12-08
NFLX,NFLX,Common Stock,Netflix Inc,"Netflix, Inc. is an American over-the-top content platform and production company headquartered in Los Gatos, California. Netflix was founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is a subscription-based streaming service offering online streaming from a library of films and television series, including those produced in-house.",1065280,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-VIDEO TAPE RENTAL,"100 WINCHESTER CIRCLE, ., LOS GATOS, CA, US",December,2023-09-30,207753576000,6371565000.0,46.95,1.884,50.51,0.0,0.0,10.11,73.75,0.138,0.224,0.0774,0.212,32742525000,12447265000,10.11,0.203,0.078,472.22,46.95,29.67,6.35,9.31,6.48,10.33,1.283,500.89,285.33,458.26,406.87,437680000,,
ABT,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,2023-09-30,192667943000,9871000000.0,37.37,26.25,21.59,2.04,0.0201,2.97,22.95,0.129,0.174,0.0572,0.14,39958999000,24579000000,2.97,0.012,-0.026,118.7,37.37,23.64,4.822,5.07,4.97,19.75,0.725,115.19,89.67,102.18,103.68,1736060000,2024-02-15,2024-01-11
TSLA,TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",December,2023-09-30,758092530000,15152000000.0,77.0,2.792,16.82,0.0,0.0,3.09,30.28,0.112,0.0756,0.0797,0.225,95924003000,20853000000,3.09,-0.442,0.088,226.77,77,68.03,7.9,14.18,7.72,45.36,2.316,299.29,114.92,234.51,230.13,3178920000,,
META,META,Common Stock,Meta Platforms Inc.,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",December,2023-09-30,884871332000,54061998000.0,30.4,0.786,55.57,0.0,0.0,11.42,48.97,0.234,0.414,0.138,0.223,126956003000,92855000000,11.42,1.679,0.232,377.12,30.4,20.2,6.97,6.2,6.78,18.11,1.221,361.9,127.15,330.32,288.38,2219610000,,
SHOP,SHOP,Common Stock,Shopify Inc,"Shopify Inc., a commerce company, offers a commerce and service platform in Canada, the United States, the United Kingdom, Australia, Latin America, and internationally. The company is headquartered in Ottawa, Canada.",1594805,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"150 ELGIN STREET, 8TH FLOOR, OTTAWA, ON, CA",December,2023-09-30,95754420000,-77036000.0,,0.607,6.45,0.0,0.0,-0.9,5.2,-0.173,0.131,-0.0095,-0.135,6650864000,2754119000,-0.9,4.858,0.255,72.46,-,72.99,14.4,11.38,13.61,-27.7,2.277,79.99,35.6,67.93,59.88,1205050000,,
SPOT,SPOT,Common Stock,Spotify Technology SA,"Spotify Technology SA, provides audio streaming services worldwide. The company is headquartered in Luxembourg, Luxembourg.",1639920,NYSE,USD,USA,TECHNOLOGY,RADIO BROADCASTING STATIONS,"42-44, AVENUE DE LA GARE, LUXEMBOURG, LU",December,2023-09-30,37763301000,-362000000.0,,,10.96,0.0,0.0,-4.14,65.67,-0.0575,0.0095,-0.0333,-0.335,12742000000,2926000000,-4.14,0.569,0.106,211.43,-,161.29,2.964,16.13,2.793,-81.81,1.629,202.88,83.77,182.04,156.92,195139000,,
PLTR,PLTR,Common Stock,Palantir Technologies Inc,"Palantir Technologies Inc. creates and implements software platforms for the intelligence community in the United States to assist in counterterrorism investigations and operations. The company is headquartered in Denver, Colorado.",1321655,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"1555 BLAKE STREET, SUITE 250, DENVER, CO, US",December,2023-09-30,34772320000,69101000.0,228.29,0.877,1.475,0.0,0.0,0.07,1.001,0.0693,0.0716,0.0061,0.0544,2125286000,1497322000,0.07,0.0,0.168,15.43,228.29,54.05,16.36,10.9,14.93,153.64,2.664,21.85,5.84,18.02,14.8,2069440000,,
MA,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",December,2023-09-30,393322037000,14781000000.0,36.63,1.409,6.72,2.28,0.0063,11.45,25.65,0.449,0.588,0.227,1.704,24367000000,22237000000,11.45,0.314,0.135,456.19,36.63,29.5,16.14,62.35,16.47,27.23,1.093,428.36,338.7,405.69,391.95,930438000,2024-02-09,2024-01-08
WMT,WMT,Common Stock,Walmart Inc,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",104169,NYSE,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"702 SOUTHWEST 8TH ST, BENTONVILLE, AR, US",January,2023-10-31,421899370000,37666001000.0,26.03,2.752,29.5,2.27,0.0145,6.02,237.11,0.0255,0.0386,0.0644,0.197,638785028000,147568000000,6.02,0.553,0.052,179.95,26.03,22.27,0.66,5.31,0.751,12.83,0.484,169.31,134.05,158.38,156.11,2692230000,2024-01-02,2023-12-07
JNJ,JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",December,2023-09-30,387885072000,35014001000,30.23,1.694,29.59,4.64,0.0295,5.33,38.16,0.351,0.301,0.101,0.192,98656002000,63954000000,5.33,5.09,0.068,175.29,30.23,15.08,3.932,5.45,3.997,15.99,0.531,173.31,143.8,153.23,159.63,2407280000,2023-12-05,2024-02-16
AAPL,AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2023-09-30,2817856111000,125820002000,29.6,2.172,3.997,0.94,0.0053,6.12,24.34,0.253,0.301,0.203,1.72,383285002000,170782000000,6.12,0.135,-0.007,199.57,29.6,27.47,7.35,45.34,7.48,22.2,1.29,199.62,127.41,187.4,180.02,15552800000,2023-11-16,2023-11-10
GOOG,GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",December,2023-09-30,1708293489000,96071000000,26.32,1.294,21.79,0,0,5.22,23.34,0.225,0.28,0.135,0.253,297131999000,156633000000,5.22,0.46,0.11,146.1,26.32,20.62,5.75,6.29,5.44,17.32,1.054,143.94,86.7,135.01,126.5,5725000000,None,None
